Date,RhatCILo1,RhatCILo2,RhatCIlo3,Rhat,RhatCIUp3,RhatCIUp2,RhatCIUp1
2020-03-01,0.99,0.99,0.99,1,1.01,1.01,1.01
2020-03-02,0.97,0.98,0.98,1,1.02,1.02,1.03
2020-03-03,0.95,0.96,0.97,1,1.03,1.04,1.05
2020-03-04,0.93,0.95,0.95,1,1.05,1.06,1.07
2020-03-05,0.93,0.96,0.98,1,1.02,1.04,1.07
2020-03-06,0.91,0.95,0.97,0.99,1.03,1.05,1.09
2020-03-07,0.89,0.94,0.96,0.99,1.04,1.06,1.11
2020-03-08,0.87,0.92,0.94,0.99,1.04,1.07,1.13
2020-03-09,0.84,0.91,0.92,0.98,1.05,1.08,1.15
2020-03-10,0.82,0.88,0.9,0.98,1.06,1.1,1.17
2020-03-11,0.8,0.86,0.88,0.97,1.07,1.11,1.19
2020-03-12,0.77,0.84,0.86,0.97,1.09,1.13,1.22
2020-03-13,0.75,0.82,0.84,0.97,1.1,1.14,1.24
2020-03-14,0.71,0.79,0.82,0.97,1.12,1.16,1.26
2020-03-15,0.68,0.76,0.8,0.96,1.13,1.18,1.28
2020-03-16,0.65,0.74,0.78,0.96,1.15,1.2,1.3
2020-03-17,0.62,0.71,0.75,0.96,1.17,1.21,1.33
2020-03-18,0.59,0.69,0.73,0.95,1.18,1.23,1.35
2020-03-19,0.56,0.66,0.71,0.95,1.2,1.25,1.37
2020-03-20,0.53,0.64,0.69,0.94,1.21,1.27,1.39
2020-03-21,0.5,0.61,0.67,0.94,1.23,1.29,1.42
2020-03-22,0.48,0.59,0.65,0.94,1.25,1.31,1.43
2020-03-23,0.45,0.57,0.63,0.94,1.26,1.33,1.45
2020-03-24,0.42,0.55,0.62,0.94,1.28,1.35,1.47
2020-03-25,0.39,0.53,0.6,0.94,1.3,1.36,1.49
2020-03-26,0.36,0.51,0.58,0.94,1.31,1.38,1.51
2020-03-27,0.34,0.49,0.57,0.94,1.33,1.4,1.54
2020-03-28,0.32,0.48,0.56,0.94,1.34,1.42,1.56
2020-03-29,0.3,0.46,0.54,0.94,1.36,1.44,1.58
2020-03-30,0.29,0.45,0.53,0.94,1.37,1.45,1.6
2020-03-31,0.27,0.44,0.52,0.94,1.38,1.47,1.61
2020-04-01,0.25,0.42,0.51,0.94,1.39,1.49,1.62
2020-04-02,0.23,0.41,0.5,0.94,1.41,1.5,1.64
2020-04-03,0.31,0.45,0.45,0.64,1.27,1.38,1.57
2020-04-04,0.31,0.44,0.44,0.64,1.28,1.39,1.58
2020-04-05,0.3,0.43,0.43,0.65,1.29,1.4,1.59
2020-04-06,0.3,0.41,0.42,0.65,1.29,1.41,1.6
2020-04-07,0.29,0.4,0.42,0.65,1.3,1.42,1.61
2020-04-08,0.29,0.39,0.41,0.66,1.31,1.43,1.63
2020-04-09,0.28,0.38,0.41,0.67,1.31,1.44,1.64
2020-04-10,0.27,0.37,0.4,0.67,1.31,1.44,1.66
2020-04-11,0.27,0.37,0.4,0.68,1.32,1.45,1.66
2020-04-12,0.26,0.36,0.4,0.69,1.32,1.46,1.66
2020-04-13,0.25,0.36,0.4,0.71,1.33,1.46,1.68
2020-04-14,0.24,0.35,0.4,0.72,1.33,1.47,1.68
2020-04-15,0.24,0.35,0.4,0.73,1.34,1.47,1.68
2020-04-16,0.24,0.35,0.4,0.75,1.35,1.47,1.68
2020-04-17,0.24,0.35,0.4,0.76,1.35,1.46,1.68
2020-04-18,0.24,0.35,0.4,0.78,1.35,1.47,1.69
2020-04-19,0.23,0.35,0.41,0.79,1.36,1.47,1.69
2020-04-20,0.23,0.35,0.42,0.81,1.36,1.47,1.7
2020-04-21,0.23,0.35,0.43,0.82,1.37,1.48,1.71
2020-04-22,0.23,0.36,0.44,0.84,1.37,1.49,1.71
2020-04-23,0.24,0.37,0.44,0.86,1.37,1.49,1.71
2020-04-24,0.24,0.37,0.45,0.88,1.38,1.5,1.71
2020-04-25,0.23,0.38,0.46,0.9,1.39,1.5,1.72
2020-04-26,0.23,0.38,0.47,0.91,1.4,1.51,1.73
2020-04-27,0.24,0.39,0.48,0.93,1.41,1.53,1.73
2020-04-28,0.24,0.4,0.49,0.95,1.43,1.54,1.73
2020-04-29,0.24,0.41,0.5,0.97,1.45,1.55,1.76
2020-04-30,0.25,0.42,0.51,0.99,1.47,1.57,1.77
2020-05-01,0.24,0.43,0.52,1,1.49,1.59,1.78
2020-05-02,0.24,0.44,0.53,1.02,1.52,1.61,1.81
2020-05-03,0.24,0.44,0.54,1.04,1.54,1.63,1.83
2020-05-04,0.62,0.95,0.95,0.95,0.95,1.13,1.48
2020-05-05,0.64,0.95,0.96,0.98,0.98,1.13,1.51
2020-05-06,0.65,0.96,0.97,1,1.02,1.16,1.53
2020-05-07,0.65,0.96,0.98,1.02,1.05,1.18,1.56
2020-05-08,0.67,0.96,0.98,1.04,1.09,1.19,1.58
2020-05-09,0.67,0.96,0.98,1.06,1.13,1.2,1.61
2020-05-10,0.66,0.96,0.98,1.07,1.16,1.22,1.62
2020-05-11,0.66,0.95,0.98,1.09,1.2,1.25,1.64
2020-05-12,0.67,0.95,0.98,1.11,1.24,1.28,1.65
2020-05-13,0.68,0.94,0.98,1.13,1.27,1.32,1.67
2020-05-14,0.67,0.93,0.97,1.14,1.31,1.36,1.68
2020-05-15,0.67,0.92,0.97,1.16,1.35,1.39,1.67
2020-05-16,0.67,0.92,0.96,1.17,1.38,1.43,1.69
2020-05-17,0.69,0.91,0.96,1.18,1.41,1.47,1.68
2020-05-18,0.68,0.9,0.95,1.2,1.44,1.5,1.7
2020-05-19,0.69,0.88,0.94,1.21,1.47,1.53,1.73
2020-05-20,0.69,0.88,0.94,1.22,1.5,1.56,1.73
2020-05-21,0.68,0.86,0.93,1.23,1.53,1.6,1.76
2020-05-22,0.67,0.85,0.92,1.23,1.55,1.63,1.8
2020-05-23,0.66,0.83,0.91,1.24,1.58,1.65,1.82
2020-05-24,0.63,0.82,0.9,1.25,1.6,1.68,1.84
2020-05-25,0.62,0.81,0.89,1.25,1.62,1.71,1.86
2020-05-26,0.6,0.79,0.88,1.25,1.64,1.73,1.88
2020-05-27,0.59,0.78,0.86,1.26,1.66,1.74,1.91
2020-05-28,0.57,0.77,0.85,1.26,1.67,1.76,1.93
2020-05-29,0.55,0.75,0.84,1.26,1.69,1.77,1.94
2020-05-30,0.53,0.74,0.82,1.26,1.69,1.78,1.95
2020-05-31,0.55,0.75,0.84,1.27,1.67,1.76,1.92
