Date,RhatCILo1,RhatCILo2,RhatCIlo3,Rhat,RhatCIUp3,RhatCIUp2,RhatCIUp1
2020-03-01,0.99,0.99,0.99,1,1.01,1.01,1.01
2020-03-02,0.97,0.98,0.98,1,1.02,1.02,1.03
2020-03-03,0.95,0.96,0.97,1,1.03,1.04,1.05
2020-03-04,0.93,0.95,0.96,1,1.04,1.05,1.07
2020-03-05,0.91,0.93,0.94,1,1.06,1.07,1.09
2020-03-06,0.89,0.91,0.92,1,1.08,1.09,1.11
2020-03-07,0.86,0.89,0.91,1,1.09,1.11,1.14
2020-03-08,0.83,0.86,0.89,1,1.11,1.13,1.16
2020-03-09,0.8,0.84,0.87,1,1.13,1.15,1.19
2020-03-10,0.77,0.82,0.85,1,1.14,1.17,1.22
2020-03-11,0.74,0.8,0.83,1,1.16,1.19,1.25
2020-03-12,0.72,0.77,0.82,1,1.19,1.22,1.29
2020-03-13,0.7,0.77,0.82,1.03,1.24,1.27,1.34
2020-03-14,0.71,0.81,0.86,1.09,1.3,1.35,1.43
2020-03-15,0.78,0.87,0.92,1.16,1.4,1.45,1.47
2020-03-16,0.86,0.94,1,1.24,1.48,1.49,1.52
2020-03-17,0.82,0.89,0.94,1.2,1.46,1.5,1.55
2020-03-18,0.93,1.03,1.08,1.32,1.55,1.57,1.61
2020-03-19,1,1.11,1.17,1.38,1.59,1.62,1.66
2020-03-20,1.07,1.18,1.22,1.43,1.64,1.67,1.71
2020-03-21,1.24,1.31,1.35,1.58,1.7,1.71,1.76
2020-03-22,1.33,1.45,1.51,1.65,1.72,1.74,1.79
2020-03-23,1.6,1.6,1.6,1.61,1.62,1.62,1.62
2020-03-24,1.59,1.6,1.6,1.62,1.63,1.64,1.64
2020-03-25,1.58,1.59,1.59,1.62,1.65,1.66,1.67
2020-03-26,1.58,1.6,1.6,1.63,1.66,1.67,1.68
2020-03-27,1.59,1.62,1.63,1.64,1.67,1.67,1.7
2020-03-28,1.56,1.58,1.6,1.64,1.68,1.69,1.72
2020-03-29,1.55,1.58,1.6,1.64,1.7,1.71,1.74
2020-03-30,1.49,1.54,1.57,1.64,1.71,1.72,1.76
2020-03-31,1.45,1.51,1.54,1.63,1.72,1.73,1.77
2020-04-01,1.39,1.48,1.51,1.62,1.72,1.74,1.79
2020-04-02,1.36,1.43,1.46,1.59,1.71,1.73,1.78
2020-04-03,1.21,1.22,1.25,1.45,1.62,1.65,1.7
2020-04-04,1.14,1.17,1.2,1.4,1.58,1.61,1.67
2020-04-05,1.07,1.1,1.13,1.32,1.51,1.54,1.61
2020-04-06,0.98,1.01,1.03,1.25,1.47,1.51,1.59
2020-04-07,0.91,0.93,0.95,1.14,1.34,1.38,1.47
2020-04-08,0.9,0.96,1,1.18,1.36,1.4,1.48
2020-04-09,0.91,0.98,1.01,1.17,1.34,1.37,1.44
2020-04-10,0.86,0.92,0.95,1.1,1.25,1.29,1.35
2020-04-11,0.77,0.83,0.87,1.05,1.22,1.25,1.32
2020-04-12,0.75,0.84,0.87,1.09,1.3,1.34,1.42
2020-04-13,0.83,0.9,0.94,1.12,1.29,1.32,1.39
2020-04-14,0.98,1.03,1.05,1.2,1.35,1.4,1.45
2020-04-15,0.93,0.98,1,1.14,1.29,1.32,1.38
2020-04-16,0.89,0.94,0.96,1.11,1.26,1.28,1.33
2020-04-17,0.88,0.94,0.97,1.15,1.31,1.34,1.41
2020-04-18,0.86,0.92,0.96,1.15,1.34,1.38,1.47
2020-04-19,0.89,0.95,0.98,1.14,1.3,1.33,1.4
2020-04-20,0.93,0.99,1.01,1.16,1.3,1.33,1.38
2020-04-21,0.98,1.03,1.05,1.19,1.33,1.35,1.41
2020-04-22,1,1.05,1.07,1.21,1.34,1.37,1.43
2020-04-23,0.97,1.03,1.06,1.21,1.37,1.4,1.47
2020-04-24,1,1.05,1.1,1.3,1.47,1.52,1.53
2020-04-25,0.95,0.99,1.02,1.2,1.37,1.41,1.47
2020-04-26,0.97,1.02,1.05,1.21,1.37,1.39,1.45
2020-04-27,1.04,1.1,1.13,1.27,1.42,1.44,1.49
2020-04-28,1.04,1.09,1.12,1.26,1.41,1.43,1.48
2020-04-29,1.05,1.11,1.14,1.32,1.48,1.5,1.57
2020-04-30,1.12,1.18,1.22,1.37,1.52,1.56,1.61
2020-05-01,1.16,1.22,1.25,1.39,1.53,1.57,1.63
2020-05-02,1.22,1.27,1.3,1.44,1.6,1.63,1.7
2020-05-03,1.27,1.32,1.35,1.5,1.66,1.7,1.74
2020-05-04,1.29,1.34,1.37,1.53,1.69,1.74,1.78
2020-05-05,1.25,1.31,1.33,1.48,1.65,1.68,1.77
2020-05-06,1.18,1.23,1.27,1.46,1.65,1.69,1.78
2020-05-07,1.17,1.22,1.26,1.42,1.6,1.64,1.71
2020-05-08,1.25,1.32,1.36,1.53,1.7,1.74,1.82
2020-05-09,1.26,1.32,1.34,1.5,1.67,1.7,1.77
2020-05-10,1.26,1.31,1.34,1.5,1.66,1.69,1.74
2020-05-11,1.26,1.31,1.34,1.49,1.64,1.67,1.73
2020-05-12,1.26,1.31,1.35,1.49,1.64,1.67,1.73
2020-05-13,1.25,1.31,1.34,1.49,1.63,1.66,1.71
2020-05-14,1.22,1.26,1.29,1.44,1.59,1.61,1.67
2020-05-15,1.2,1.25,1.29,1.43,1.57,1.6,1.66
2020-05-16,1.2,1.25,1.28,1.41,1.56,1.58,1.64
2020-05-17,1.23,1.29,1.32,1.47,1.61,1.64,1.7
2020-05-18,1.22,1.27,1.3,1.44,1.58,1.61,1.67
2020-05-19,1.14,1.19,1.21,1.36,1.51,1.54,1.59
2020-05-20,1.07,1.12,1.15,1.28,1.42,1.46,1.52
2020-05-21,1.09,1.14,1.17,1.3,1.45,1.48,1.53
2020-05-22,1.07,1.12,1.14,1.27,1.41,1.44,1.49
2020-05-23,1.09,1.13,1.16,1.29,1.42,1.45,1.5
2020-05-24,1.1,1.14,1.16,1.29,1.43,1.46,1.5
2020-05-25,1.05,1.09,1.11,1.24,1.38,1.4,1.45
2020-05-26,0.94,1,1.03,1.19,1.36,1.38,1.44
2020-05-27,0.97,1.05,1.1,1.28,1.43,1.46,1.51
2020-05-28,1.08,1.14,1.16,1.3,1.43,1.46,1.52
2020-05-29,1.14,1.19,1.22,1.34,1.48,1.51,1.56
2020-05-30,1.15,1.2,1.22,1.35,1.48,1.51,1.56
2020-05-31,1.14,1.19,1.21,1.33,1.47,1.49,1.55
2020-06-01,1.11,1.16,1.18,1.3,1.44,1.46,1.52
