Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,1,1,1,1,3,3,4
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,1,1,1,2,3,3,4
2020-03-09,0,0,0,0,0,0,0
2020-03-10,1,1,1,2,4,4,5
2020-03-11,1,1,1,3,5,5,6
2020-03-12,1,1,1,2,4,4,5
2020-03-13,1,1,2,3,5,6,7
2020-03-14,2,2,2,4,8,8,9
2020-03-15,2,2,2,5,9,9,11
2020-03-16,2,3,3,6,10,10,12
2020-03-17,0,0,0,2,4,5,7
2020-03-18,5,5,6,9,13,14,16
2020-03-19,4,5,5,9,14,15,18
2020-03-20,5,6,7,11,16,17,19
2020-03-21,15,16,17,22,27,28,31
2020-03-22,15,17,18,24,30,31,34
2020-03-23,13,20,20,24,33,33,39
2020-03-24,16,18,19,26,34,36,40
2020-03-25,18,20,21,29,38,40,45
2020-03-26,76,80,83,94,105,107,110
2020-03-27,96,101,103,116,130,134,138
2020-03-28,22,25,27,36,47,49,54
2020-03-29,55,64,67,82,96,99,106
2020-03-30,44,48,50,67,92,98,107
2020-03-31,50,59,63,84,108,112,123
2020-04-01,55,63,67,91,116,121,132
2020-04-02,66,71,74,90,107,112,121
2020-04-03,41,47,48,63,79,82,89
2020-04-04,59,65,68,84,101,105,112
2020-04-05,54,59,61,77,95,100,113
2020-04-06,35,40,44,77,110,117,131
2020-04-07,46,51,53,69,87,92,107
2020-04-08,58,68,71,88,107,111,119
2020-04-09,63,68,71,87,105,109,116
2020-04-10,53,58,60,75,92,96,106
2020-04-11,34,43,49,76,103,109,122
2020-04-12,45,54,58,96,133,138,149
2020-04-13,61,73,77,96,117,120,129
2020-04-14,96,101,105,125,147,151,161
2020-04-15,72,78,81,100,120,125,139
2020-04-16,75,82,84,103,123,128,138
2020-04-17,70,81,87,131,167,174,184
2020-04-18,71,82,88,125,181,199,219
2020-04-19,89,98,102,124,149,154,167
2020-04-20,103,110,114,137,161,167,179
