Circ	Inscrits	pcAbst	pcPArtiAbst
6708	94515	56.8	38.29
2301	91035	45.6	22.29
0204	78792	56.51	37.87
7805	75643	46.87	24.10
7706	81556	57.87	39.81
5603	96628	49.35	27.64
97406	82020	70.54	57.91
9402	66102	59.38	41.97
7510	70250	45.6	22.29
7401	109071	51.17	30.24
0103	82204	55.89	36.99
8202	96323	47.74	25.34
6201	104993	50.12	28.74
1703	84182	49.86	28.37
1404	104659	48.95	27.07
3501	93482	46.47	23.53
4003	99462	43.16	18.80
6007	76841	53.73	33.90
4102	80246	49.53	27.90
8004	85122	49.33	27.61
1602	83697	50.64	29.49
1901	92420	41.66	16.66
3804	91874	49.16	27.37
8303	104073	51.08	30.11
6211	94162	57.4	39.14
4205	102303	49.46	27.80
9503	94585	53.46	33.51
3109	80643	48.66	26.66
5405	78445	51.62	30.89
5702	76226	55.16	35.94
7607	86787	52.94	32.77
5801	74654	52.27	31.81
5910	82222	61.98	45.69
7405	101794	56.11	37.30
7514	76056	46.05	22.93
9406	82107	45.28	21.83
7702	79921	49.57	27.96
5904	101667	51.43	30.61
7801	83335	44.01	20.01
97402	98956	74.45	63.50
3505	109714	49.51	27.87
8101	85123	46.22	23.17
6102	66070	49.31	27.59
6205	90592	55.16	35.94
9208	68035	42.0	17.14
3810	98790	54.89	35.56
3602	88364	47.88	25.54
3901	65020	47.29	24.70
9309	73725	57.5	39.29
3703	99409	48.32	26.17
0608	84297	56.31	37.59
6304	101379	48.8	26.86
4201	64587	55.01	35.73
8307	105182	55.6	36.57
6003	73818	58.51	40.73
3404	119166	48.71	26.73
1501	63112	46.16	23.09
7811	69371	51.39	30.56
5914	99404	52.3	31.86
5706	66885	64.61	49.44
7603	70115	55.48	36.40
0301	89347	48.75	26.79
2204	81079	44.85	21.21
5920	81518	60.38	43.40
2103	72546	52.21	31.73
5401	82436	51.74	31.06
7504	72974	47.0	24.29
9507	69364	58.06	40.09
7404	88827	58.08	40.11
5501	75640	51.47	30.67
9407	66243	53.67	33.81
7515	79102	46.5	23.57
0201	72479	52.11	31.59
5905	101579	50.85	29.79
7703	77042	53.32	33.31
5606	93727	48.15	25.93
97403	96212	66.8	52.57
1401	72797	46.66	23.80
3504	95807	49.45	27.79
6103	71115	49.72	28.17
4301	101606	47.55	25.07
6204	89982	49.32	27.60
9209	63445	43.79	19.70
9308	61629	56.39	37.70
3702	92211	48.05	25.79
3801	85682	42.84	18.34
6305	104417	48.82	26.89
0609	81450	54.32	34.74
8306	127507	53.84	34.06
8001	84040	54.08	34.40
6002	89121	52.48	32.11
3405	98962	49.36	27.66
7810	91538	44.56	20.80
5915	97792	51.68	30.97
5707	89488	59.44	42.06
7602	95300	46.21	23.16
7901	90920	48.89	26.99
2205	107754	43.33	19.04
5921	81066	58.11	40.16
2102	71505	50.57	29.39
7505	79349	42.83	18.33
9506	75335	54.73	35.33
0205	83141	52.71	32.44
6709	95481	56.17	37.39
7707	87842	57.21	38.87
5602	112403	46.44	23.49
5901	64224	54.35	34.79
7804	80154	45.16	21.66
97407	118245	70.69	58.13
7511	73057	39.87	14.10
9403	74029	57.74	39.63
0102	99953	50.29	28.99
1702	112182	50.67	29.53
1801	71167	50.08	28.69
1405	92550	46.68	23.83
4002	123039	47.57	25.10
6006	75884	51.48	30.69
4103	81926	47.15	24.50
8005	81341	50.8	29.71
3401	90089	54.01	34.30
3805	106035	48.08	25.83
1603	90900	48.2	26.00
6210	88835	55.76	36.80
8302	92500	54.99	35.70
6301	84175	53.45	33.50
4204	103959	52.2	31.71
9502	78157	53.59	33.70
97601	42834	58.85	41.21
5404	97548	52.52	32.17
7501	84562	43.73	19.61
3108	86154	46.25	23.21
5703	75859	54.8	35.43
7606	109820	48.72	26.74
5911	94411	53.86	34.09
2201	91910	46.95	24.21
7205	87876	53.59	33.70
2B01	61515	59.07	41.53
9206	76259	44.65	20.93
2901	92327	45.55	22.21
2602	95908	53.56	33.66
2505	84707	51.71	31.01
9101	73470	61.74	45.34
97202	80054	78.5	69.29
7102	77216	49.53	27.90
3305	120985	50.44	29.20
1311	92277	54.08	34.40
8802	72545	51.94	31.34
6910	99394	47.28	24.69
8701	84294	47.52	25.03
6801	78280	55.7	36.71
4904	76227	50.17	28.81
6702	73361	52.13	31.61
6405	99404	49.55	27.93
9408	78513	45.77	22.53
3002	95029	53.16	33.09
9509	70489	62.14	45.91
3103	80720	41.64	16.63
4401	77125	45.31	21.87
8903	89720	51.89	31.27
6603	84996	50.76	29.66
5708	91160	64.36	49.09
1301	81442	58.23	40.33
0501	59643	47.76	25.37
2404	89793	43.84	19.77
0606	80167	53.1	33.00
2703	85737	49.3	27.57
5201	70037	49.39	27.70
7304	77948	48.6	26.57
9307	80662	54.1	34.43
2501	76204	50.42	29.17
2A02	61842	57.13	38.76
5003	110854	48.97	27.10
9105	68453	42.43	17.76
9202	69729	44.35	20.50
7201	73499	51.87	31.24
97101	75975	74.89	64.13
0703	80823	43.6	19.43
2905	97851	48.26	26.09
8402	85827	51.44	30.63
98801	96919	68.98	55.69
98702	67226	60.57	43.67
4504	74814	52.21	31.73
6401	69004	47.07	24.39
1103	89784	44.19	20.27
3006	84534	54.99	35.70
1315	109293	51.64	30.91
7708	95166	56.95	38.50
3301	104109	49.99	28.56
6706	97605	53.76	33.94
