artiste,element,genre,style,source,stream,date,spotify,cover,discogs,etat,match,titleDiscogs
"¡FIASCO!","Post-Truth","#TODO#TODO","#TODO#TODO","https://fiascodc.bandcamp.com/album/post-truth","https://fiascodc.bandcamp.com/album/post-truth","2021-05-27","spotify:album:2d9oEnGRnq7lMnSQ3u08va","","","0","0",""
"[bleu]","Sincère autopsie de la finesse","Rock","","https://bleubleubleubleu.bandcamp.com/album/sinc-re-autopsie-de-la-finesse","https://bleubleubleubleu.bandcamp.com/album/sinc-re-autopsie-de-la-finesse","2020-06-25","","https://img.discogs.com/7OSBY1lfO8W-2VisIfUvITU1lXk=/fit-in/500x492/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-6994735-1431259718-5659.jpeg.jpg","https://www.discogs.com//bleu-Sinc%C3%A8re-autopsie-de-la-finesse/release/6994735","0","1.0","[bleu] - Sincère autopsie de la finesse"
"A Gethsémani","Ame Triste","Electronic","New Wave, Synth-pop, Darkwave","http://www.xsilence.net/disque-11121.htm","","2020-01-20","","https://img.discogs.com/LuhkIL3dPhrTFIMwDqZd-Iq2YtQ=/fit-in/365x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-4871340-1378054027-9732.jpeg.jpg","https://www.discogs.com//A-Geths%C3%A9mani-Ame-Triste/master/1466916","0","0.9803921568627451","A Gethsémani* - Ame Triste"
"A Novelist","Folie","Metal","Black Metal, Death Metal, Progressive Metal","http://www.eklektik-rock.com/2019/05/a-novelist-folie/","","2020-01-20","spotify:album:3xq74YLsYxXmUe76cuVvL3","https://img.discogs.com/YCaq9rIzwMC_CsKI6DV6pyeLQbw=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-13620201-1628181375-8296.jpeg.jpg","https://www.discogs.com//A-Novelist-Folie/master/1551028","0","1.0","A Novelist - Folie"
"A.A. Williams","A.A. Williams","Rock","Indie Rock","http://www.eklektik-rock.com/2019/02/a-a-williams-st/","","2020-01-20","spotify:album:7iXM7xgJe0T2kkfRkIE4UQ","https://img.discogs.com/-86NIUWxEoe1GP4VkTc7t6ydRUA=/fit-in/600x633/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-3391333-1456419619-6930.jpeg.jpg","https://www.discogs.com//release/14093561-AAWilliams-AA-Williams","0","0.9824561403508771","A.A.Williams - A.A. Williams"
"Acathexis","Acathexis","Metal","Black Metal, Atmospheric Black Metal","","https://acathexis.bandcamp.com/album/acathexis","","spotify:album:5wT7WTCs94DnDXoDKFbuqp","https://img.discogs.com/mWLNqSPavOTz26mVr9w6fRkSWOk=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-12996747-1546128825-2715.jpeg.jpg","https://www.discogs.com//Acathexis-Acathexis/master/1476555","0","1.0","Acathexis - Acathexis"
"Ad Nauseam","Imperative Imperceptible Impulse","Metal","Death Metal, Avantgarde","https://avantgardemusic.bandcamp.com/album/imperative-imperceptible-impulse","https://avantgardemusic.bandcamp.com/album/imperative-imperceptible-impulse","2021-05-27","","https://img.discogs.com/4F7vDWJE5_Fk-ddEyH1cNJ7vQ50=/fit-in/600x527/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-17187127-1635271970-9380.jpeg.jpg","https://www.discogs.com//master/1969507-Ad-Nauseam-Imperative-Imperceptible-Impulse","0","0.9574468085106383","Ad Nauseam (6) - Imperative Imperceptible Impulse"
"Aesop Rock","LABOR DAYS","Hip Hop","Conscious","http://pitchfork.com/reviews/albums/65-labor-days/","","","spotify:album:1EozNWj9YemnvgrpvqHpca","https://img.discogs.com/vPYYnQ0cq7ofykzx1aDfNo4aeAM=/fit-in/600x591/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-35984-1569082639-4805.jpeg.jpg","https://www.discogs.com//Aesop-Rock-Labor-Days/master/69968","0","1.0","Aesop Rock - Labor Days"
"Aesop Rock","Spirit World Field Guide","Hip Hop","","https://aesoprock.bandcamp.com/album/spirit-world-field-guide","https://aesoprock.bandcamp.com/album/spirit-world-field-guide","2021-05-27","spotify:album:5deucTECSaDkVgycsyUsPc","https://img.discogs.com/de4bxgZ84BzR_GLddUWoWm906eI=/fit-in/600x601/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-16203043-1628355757-6800.jpeg.jpg","https://www.discogs.com//master/1839107-Aesop-Rock-Spirit-World-Field-Guide","0","1.0","Aesop Rock - Spirit World Field Guide"
"Aethenor","Hazel","Electronic, Rock","Drone, Experimental, Dark Ambient","???","???","","spotify:album:5LfsJHhHVqnkYnOhI0tWkm","https://img.discogs.com/3rNh4a1_OyBhROFHLU4K0jyAj40=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-8954341-1509474691-6878.jpeg.jpg","https://www.discogs.com//%C3%86thenor-Hazel/master/1048642","0","0.9032258064516129","Æthenor - Hazel"
